interva5_cod_orign,interva5_cod,General_group_title,autopsy_code ,Verbal_autopsy_title ,ICD-10_code_to_ICD,ICD-10_code_from_ICD,specific_group
Sepsis (non-obstetric),Sepsis,Infectious and parasitic diseases ,VAs-01.01 ,Sepsis ,A41,A40-A41,VAs-01  Infectious and parasitic diseases 
Acute resp infect incl pneumonia,Acute respiratory infection including pneumonia,Infectious and parasitic diseases ,VAs-01.02 ,Acute respiratory infection including pneumonia ,J22/J18,J00-J22,VAs-01  Infectious and parasitic diseases 
HIV/AIDS related death,HIV/AIDS related death,Infectious and parasitic diseases ,VAs-01.03 ,HIV/AIDS related death ,B24,B20-B24,VAs-01  Infectious and parasitic diseases 
Diarrhoeal diseases,Diarrheal diseases,Infectious and parasitic diseases ,VAs-01.04 ,Diarrheal diseases ,A09,A00-A09,VAs-01  Infectious and parasitic diseases 
Malaria,Malaria,Infectious and parasitic diseases ,VAs-01.05 ,Malaria ,B54,B50-B54,VAs-01  Infectious and parasitic diseases 
Measles,Measles,Infectious and parasitic diseases ,VAs-01.06 ,Measles ,B05,B05,VAs-01  Infectious and parasitic diseases 
Meningitis and encephalitis,Meningitis and encephalitis,Infectious and parasitic diseases ,VAs-01.07 ,Meningitis and encephalitis ,G03; G04,A39; G00-  G05,VAs-01  Infectious and parasitic diseases 
Tetanus,Tetanus,Infectious and parasitic diseases ,VAs-01.08 ,Tetanus,A35  (obstetrical  A34),A33-A35,VAs-01  Infectious and parasitic diseases 
Pulmonary tuberculosis,Pulmonary tuberculosis,Infectious and parasitic diseases ,VAs-01.09 ,Pulmonary tuberculosis ,A16,A15-A16,VAs-01  Infectious and parasitic diseases 
Pertussis,Pertussis,Infectious and parasitic diseases ,VAs-01.10 ,Pertussis ,A37,A37,VAs-01  Infectious and parasitic diseases 
Haemorrhagic fever,Haemorrhagic fever,Infectious and parasitic diseases ,VAs-01.11 ,Haemorrhagic fever ,A99,A92-A99,VAs-01  Infectious and parasitic diseases 
Other and unspecified infect dis,Unspecified infectious disease,Infectious and parasitic diseases ,VAs-01.99 ,Unspecified infectious disease ,B99,A17-A19  A20-A38;  A42-A89;  B00-B19;  B25-B49;  B55-B99,VAs-01  Infectious and parasitic diseases 
Other and unspecified NCD,Other and unspecified non- communicable,Non-communicable diseases,VAs-98,Other and unspecified non- communicable,R99,"""D55-D89; E00-E07; E15-E35; E50-E90; F00-F99; G06-G09
G10-G37; G50-G99; H00-H95; J30-J39; J47-J99; K00-K31; K35-K38
K40-K93; L00-L99; M00-M99; N00-N16; N20-N99; R00-R09
R11-R94""",Non-communicable diseases
Oral neoplasms,Oral neoplasms,Non-communicable diseases,VAs-02.01,Oral neoplasms,C06,C00-C06,VAs-02 Neoplasms
Digestive neoplasms,Digestive neoplasms,Non-communicable diseases,VAs-02.02,Digestive neoplasms,C26,C15-C26,VAs-02 Neoplasms
Respiratory neoplasms,Respiratory neoplasms,Non-communicable diseases,VAs-02.03,Respiratory neoplasms,C39,C30-C39,VAs-02 Neoplasms
Breast neoplasms,Breast neoplasms,Non-communicable diseases,VAs-02.04,Breast neoplasms,C50,C50,VAs-02 Neoplasms
Other and unspecified neoplasms,Other and unspecified neoplasms,Non-communicable diseases,VAs-02.99,Other and unspecified neoplasms,C80,"""C07-C14
C40-C49
C60-D48""",VAs-02 Neoplasms
Severe anaemia,Severe anaemia,Non-communicable diseases,VAs-03.01,Severe anaemia,D64,D50-D64,VAs-03 Nutritional and endocrine disorders
Severe malnutrition,Severe malnutrition,Non-communicable diseases,VAs-03.02,Severe malnutrition,E46,E40-E46,VAs-03 Nutritional and endocrine disorders
Diabetes mellitus,Diabetes mellitus,Non-communicable diseases,VAs-03.03,Diabetes mellitus,E14,E10-E14,VAs-03 Nutritional and endocrine disorders
Acute cardiac disease,Acute cardiac disease,Non-communicable diseases,VAs-04.01,Acute cardiac disease,I24 (acute ischemic),I20-I25,VAs-04 Diseases of the circulatory system
